index,city,district,min_booking_duration,first_pic_category,beds,rooms,deposit,area,price,accommodates,number_of_pics,cleaning_fee,clicks
9401,141,1024,3,LIVING_DINING_ROOM,1,2,1200.0,61.0,1590.0,2,25,0.0,33
24464,465,577,1,NON_RELATED,2,2,1950.0,50.0,1950.0,2,15,150.0,0
7793,889,985,1,LIVING_DINING_ROOM,1,1,1500.0,22.0,900.0,1,7,100.0,177
19139,1334,1414,1,LIVING_DINING_ROOM,1,2,1000.0,40.0,1688.0,2,66,140.0,375
33706,271,356,3,ROOM_BEDROOM,5,5,1200.0,70.0,1600.0,7,19,60.0,1179
11753,141,287,1,,3,3,500.0,0.0,1550.0,5,,0.0,0
17453,141,5,2,OUTDOOR_BUILDING,4,2,1100.0,73.0,1400.0,4,22,100.0,2969
9845,141,1192,3,LIVING_DINING_ROOM,2,2,900.0,60.0,900.0,2,7,0.0,0
19873,264,349,1,LIVING_DINING_ROOM,1,2,500.0,80.0,1300.0,2,11,50.0,0
188,141,759,13,LIVING_DINING_ROOM,2,3,2500.0,88.0,1650.0,2,14,150.0,231
223,888,984,2,LIVING_DINING_ROOM,1,1,2000.0,28.0,810.0,2,12,300.0,0
570,141,1024,1,LIVING_DINING_ROOM,1,1,500.0,,1500.0,,1,0.0,0
27375,141,458,2,LIVING_DINING_ROOM,1,2,1400.0,43.0,1400.0,2,20,50.0,396
17398,465,568,6,LIVING_DINING_ROOM,2,3,2500.0,110.0,2200.0,4,21,100.0,517
15235,141,893,1,LIVING_DINING_ROOM,2,2,1800.0,65.0,1800.0,3,24,0.0,1132
13095,141,1052,3,ROOM_BEDROOM,4,2,1980.0,42.0,1980.0,4,11,0.0,976
17818,822,923,3,LIVING_DINING_ROOM,1,2,4200.0,63.0,2100.0,2,13,0.0,0
16784,141,795,1,LIVING_DINING_ROOM,4,4,500.0,102.0,3400.0,4,27,150.0,1037
8622,647,756,1,LIVING_DINING_ROOM,2,2,400.0,37.0,700.0,2,8,40.0,291
32635,141,759,3,LIVING_DINING_ROOM,1,2,1500.0,71.0,1490.0,2,17,0.0,0
1341,141,759,1,ROOM_BEDROOM,1,1,100.0,20.0,300.0,,14,80.0,0
26341,349,440,1,ROOM_BEDROOM,2,2,1890.0,45.0,1690.0,2,16,160.0,161
3387,141,893,1,LIVING_DINING_ROOM,1,1,1499.0,,1499.0,,16,,0
1103,465,568,3,ROOM_BEDROOM,1,1,500.0,,700.0,,8,0.0,0
16462,465,568,1,LIVING_DINING_ROOM,1,1,1600.0,,1600.0,,2,,0
18210,141,1234,3,LIVING_DINING_ROOM,2,3,1800.0,73.0,1180.0,2,21,80.0,538
31712,141,248,1,LIVING_DINING_ROOM,8,3,2480.0,98.0,2480.0,8,27,75.0,1066
2794,141,1192,1,,1,1,500.0,,900.0,,,,0
33141,762,871,1,LIVING_DINING_ROOM,1,1,1500.0,65.0,1400.0,2,20,150.0,501
29441,822,923,2,LIVING_DINING_ROOM,1,2,1900.0,65.0,1900.0,2,9,0.0,25
9364,141,1052,1,ROOM_BEDROOM,1,1,500.0,30.0,3200.0,2,18,0.0,0
14161,141,893,4,LIVING_DINING_ROOM,1,2,2000.0,48.5,1280.0,2,12,100.0,737
5179,141,759,3,LIVING_DINING_ROOM,1,2,1475.0,56.0,1475.0,2,35,159.0,1026
345,656,766,3,UNCATEGORIZED,1,2,2000.0,65.0,1430.0,2,21,80.0,541
33709,271,356,2,HALL_CORRIDOR,1,1,2098.0,44.0,1049.0,1,8,200.0,394
32082,750,855,6,ROOM_BEDROOM,3,3,5000.0,114.0,2500.0,4,10,150.0,75
5949,1060,1414,1,LIVING_DINING_ROOM,2,2,0.0,85.0,900.0,4,12,0.0,655
1533,584,695,1,LIVING_DINING_ROOM,1,1,1500.0,48.0,880.0,2,9,20.0,566
16391,271,1414,3,LIVING_DINING_ROOM,2,3,4000.0,120.0,2290.0,4,20,250.0,544
8770,141,1192,3,ROOM_BEDROOM,1,1,900.0,27.0,900.0,1,9,60.0,0
27184,473,575,6,LIVING_DINING_ROOM,1,2,1070.0,65.0,1070.0,2,8,50.0,751
16081,141,893,1,LIVING_DINING_ROOM,1,1,500.0,,1950.0,,1,0.0,0
20363,473,575,1,HALL_CORRIDOR,4,3,1200.0,74.0,1200.0,5,5,70.0,261
28037,822,923,6,KITCHEN,3,4,6000.0,120.0,3000.0,4,19,200.0,0
30393,750,855,3,LIVING_DINING_ROOM,1,3,2400.0,74.0,1700.0,2,8,100.0,0
30032,259,343,1,GARDEN,1,1,500.0,0.0,800.0,0,1,0.0,0
321,141,759,1,,1,1,500.0,,1600.0,,,,0
27843,349,440,1,,1,1,500.0,,60326.0,,,,0
19155,668,777,1,LIVING_DINING_ROOM,3,2,1500.0,55.0,3000.0,2,20,100.0,30
11741,465,568,3,ROOM_BEDROOM,1,1,0.0,38.0,2800.0,2,7,100.0,181
31997,141,206,3,LIVING_ROOM,1,1,1500.0,44.0,3540.0,2,17,215.0,101
20470,822,923,1,,1,1,1800.0,,1800.0,,,,0
12827,141,576,6,LIVING_DINING_ROOM,1,1,1700.0,39.0,990.0,2,27,80.0,240
22580,22,31,1,KITCHEN,1,1,0.0,25.0,799.0,1,5,0.0,552
5188,141,893,3,LIVING_DINING_ROOM,3,4,5800.0,115.0,2900.0,6,34,300.0,752
4688,141,458,1,LIVING_DINING_ROOM,1,1,750.0,33.0,1100.0,2,11,50.0,2883
17714,349,440,1,ROOM_BEDROOM,1,1,1920.0,30.0,960.0,1,9,0.0,0
13069,362,454,1,LIVING_DINING_ROOM,2,3,1300.0,60.0,1300.0,2,1,50.0,0
