district,min_booking_duration,first_pic_category,rooms,deposit,area,price,number_of_pics,cleaning_fee,deposit_ratio,clicks
576,1,ROOM_BEDROOM,1,500.0,59.0,500.0,5.0,0.0,1.0,0
893,3,LIVING_DINING_ROOM,1,900.0,38.0,1900.0,14.0,70.0,0.47368421052631576,1117
405,3,ROOM_BEDROOM,2,1200.0,60.0,1390.0,39.0,85.0,0.8633093525179856,106
287,1,LIVING_DINING_ROOM,2,1000.0,78.0,2300.0,2.0,0.0,0.43478260869565216,0
893,3,LIVING_DINING_ROOM,2,1450.0,47.0,1450.0,6.0,150.0,1.0,0
759,1,LIVING_DINING_ROOM,1,1120.0,35.0,1120.0,27.0,150.0,1.0,6613
1248,1,LIVING_DINING_ROOM,3,500.0,51.0,1390.0,8.0,0.0,0.3597122302158273,228
588,3,LIVING_DINING_ROOM,4,1850.0,130.0,1850.0,20.0,150.0,1.0,25
1379,3,LIVING_DINING_ROOM,2,1800.0,64.0,1290.0,43.0,150.0,1.3953488372093024,298
593,2,LIVING_DINING_ROOM,1,2500.0,31.0,1060.0,13.0,100.0,2.358490566037736,1203
223,6,UNCATEGORIZED,2,1500.0,45.0,1100.0,0.0,50.0,1.3636363636363635,0
1192,5,LIVING_DINING_ROOM,3,2000.0,71.0,1830.0,28.0,150.0,1.092896174863388,2723
1135,1,LIVING_DINING_ROOM,1,500.0,55.0,1500.0,1.0,80.0,0.3333333333333333,0
1334,3,OUTDOOR_HOUSE,3,1500.0,70.0,890.0,8.0,150.0,1.6853932584269662,440
356,3,LIVING_DINING_ROOM,4,4000.0,100.0,2290.0,20.0,250.0,1.7467248908296944,281
893,1,LIVING_DINING_ROOM,2,800.0,62.0,1600.0,5.0,0.0,0.5,0
356,3,ROOM_BEDROOM,1,2000.0,33.0,1250.0,20.0,150.0,1.6,193
923,4,LIVING_DINING_ROOM,2,4900.0,75.0,2450.0,7.0,0.0,2.0,0
239,1,KITCHEN,8,3500.0,220.0,3540.0,38.0,120.0,0.9887005649717514,42
356,1,ROOM_BEDROOM,3,2500.0,82.0,1800.0,29.0,150.0,1.3888888888888888,0
440,4,UNCATEGORIZED,2,2000.0,37.56,1390.0,11.0,80.0,1.4388489208633093,508
759,2,LIVING_DINING_ROOM,2,1950.0,75.0,1950.0,40.0,150.0,1.0,383
1379,3,LIVING_DINING_ROOM,2,3000.0,54.0,1550.0,15.0,250.0,1.935483870967742,428
911,3,GARDEN,2,1900.0,51.0,1200.0,16.0,150.0,1.5833333333333333,149
440,6,LIVING_DINING_ROOM,1,2000.0,35.0,980.0,15.0,200.0,2.0408163265306123,0
1248,1,ROOM_BEDROOM,2,1390.0,25.0,1390.0,14.0,60.0,1.0,149
1234,1,ROOM_BEDROOM,2,500.0,53.0,920.0,16.0,50.0,0.5434782608695652,1
1248,10,KITCHEN,3,2000.0,90.0,1650.0,15.0,200.0,1.2121212121212122,238
766,3,UNCATEGORIZED,1,500.0,55.0,400.0,0.0,0.0,1.25,0
348,1,KITCHEN,3,0.0,71.0,3260.0,1.0,0.0,0.0,0
759,3,ROOM_BEDROOM,3,5000.0,83.77,2500.0,17.0,300.0,2.0,285
893,1,LIVING_DINING_ROOM,2,500.0,62.0,1250.0,9.0,0.0,0.4,0
809,2,LIVING_DINING_ROOM,2,2170.0,64.0,1090.0,13.0,100.0,1.9908256880733946,0
374,6,HALL_CORRIDOR,2,1200.0,70.0,1200.0,5.0,0.0,1.0,352
896,1,LIVING_DINING_ROOM,3,1500.0,88.0,1500.0,39.0,50.0,1.0,2974
709,1,KITCHEN,2,0.0,65.0,800.0,13.0,0.0,0.0,0
287,1,LIVING_DINING_ROOM,2,1400.0,55.0,1400.0,8.0,50.0,1.0,4
356,1,LIVING_DINING_ROOM,1,1800.0,40.0,1200.0,8.0,80.0,1.5,124
